,Bender_count,Journal,Kopparapu_count,Morehead_count,Nelson_count,Publication_Date,Robertson_count,Schwab_count,Sharon_count,URL_link
605,0,Astronomy and Astrophysics,0,0,0,2011-04-00,0,0,0,2011A%26A...528A.112L
606,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
607,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
608,0,The Astrophysical Journal,0,0,0,2011-07-00,0,0,0,2011ApJ...736...19B
609,0,Nature,0,1,0,2011-02-00,0,0,0,2011Natur.470...53L
610,0,The Astronomical Journal,0,0,0,2011-09-00,0,0,0,2011AJ....142...95K
611,0,The Astrophysical Journal,0,1,0,2011-03-00,0,0,0,2011ApJ...729...27B
612,0,Science,0,0,0,2012-09-00,0,0,0,2012Sci...337.1511O
613,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...745...28G
614,0,The Astrophysical Journal,0,0,0,2012-01-00,0,1,0,2012ApJ...745...21F
615,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
616,0,Publications of the Astronomical Society of Japan,0,0,0,2012-12-00,0,0,0,2012PASJ...64..135S
617,0,The Astronomical Journal,0,0,0,2012-11-00,0,0,0,2012AJ....144..139H
618,0,Science,0,0,0,2012-08-00,0,0,0,2012Sci...337..556C
619,0,The Astrophysical Journal,0,0,0,2012-08-00,0,0,0,2012ApJ...755..102Y
620,0,The Astrophysical Journal,0,0,0,2012-07-00,0,0,0,2012ApJ...753..169W
621,0,Science,0,0,0,2012-09-00,0,0,0,2012Sci...337.1511O
622,0,The Astrophysical Journal,0,0,0,2012-04-00,1,0,0,2012ApJ...749...39R
623,0,The Astrophysical Journal,0,0,0,2012-05-00,0,0,0,2012ApJ...750...84B
624,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
625,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
626,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
627,0,The Astrophysical Journal,0,0,0,2012-10-00,0,0,0,2012ApJ...757..119B
628,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-10-00,0,0,0,2012MNRAS.426..739H
629,0,The Astrophysical Journal,0,0,0,2012-09-00,0,0,0,2012ApJ...756...91H
630,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
631,0,The Astronomical Journal,0,0,0,2012-04-00,0,0,0,2012AJ....143...81S
632,0,The Astrophysical Journal,0,0,0,2012-01-00,0,0,0,2012ApJ...745...80Q
633,0,Nature,0,0,0,2012-01-00,1,0,0,2012Natur.481..475W
634,0,Publications of the Astronomical Society of Japan,0,0,0,2012-10-00,0,0,0,2012PASJ...64...97S
635,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
636,0,The Astronomical Journal,0,0,0,2012-07-00,0,0,0,2012AJ....144...19B
637,0,Monthly Notices of the Royal Astronomical Society,0,0,0,2012-12-00,0,0,0,2012MNRAS.427.1877C
638,0,The Astrophysical Journal Supplement Series,0,0,0,2013-10-00,0,0,0,2012arXiv1208.3312X
