NAME,FIRSTREF,FIRSTURL,,
HD 149026 b,Sato 2005,http://adsabs.harvard.edu/abs/2005ApJ...633..465S,,
HD 189733 b,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,,
HD 101930 b,Lovis 2005,http://adsabs.harvard.edu/abs/2005A%26A...437.1121L,,
GJ 876 d,Rivera 2005,http://adsabs.harvard.edu/abs/2005ApJ...634..625R,,
HD 99492 b,Marcy 2005,http://adsabs.harvard.edu/abs/2005ApJ...619..570M,,
HD 13189 b,Hatzes 2005,http://adsabs.harvard.edu/abs/2005A&A...437..743H,,
HD 208487 b,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,
HD 117618 b,Tinney 2005,http://adsabs.harvard.edu/abs/2005ApJ...623.1171T,,
HD 63454 b,Moutou 2005,http://adsabs.harvard.edu/abs/2005A%26A...439..367M,,
HD 50499 b,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 108874 c,Vogt 2005,http://adsabs.harvard.edu/abs/2005ApJ...632..638V,,
HD 33283 b,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,,
HD 4308 b,Udry 2006,http://adsabs.harvard.edu/abs/2006A%26A...447..361U,,
HD 81040 b,Sozzetti 2006,http://adsabs.harvard.edu/abs/2006A%26A...449..417S,,
HD 142022 b,Eggenberger 2006,http://adsabs.harvard.edu/abs/2006A%26A...447.1159E,,
HD 109749 b,Fischer 2006,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F,,
GJ 849 b,Butler 2006,http://adsabs.harvard.edu/abs/2006PASP..118.1685B,,
HD 66428 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
HD 118203 b,Da Silva 2006,http://adsabs.harvard.edu/abs/2006A%26A...446..717D,,
HD 187085 b,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,,
HD 185269 b,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...652.1724J,,
HD 20782 b,Jones 2006,http://adsabs.harvard.edu/abs/2006MNRAS.369..249J,,
HD 164922 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
HD 149143 b,Fischer 2006 ,http://adsabs.harvard.edu/abs/2006ApJ...637.1094F ,,
HD 69830 b,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,,
HD 107148 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
HD 224693 b,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,,
WASP-33 b,Christian 2006,http://adsabs.harvard.edu/abs/2006MNRAS.372.1117C,,
OGLE-05-169L b,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,,
HD 102195 b,Ge 2006,http://adsabs.harvard.edu/abs/2006ApJ...648..683G,,
HD 69830 d,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,,
HD 212301 b,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,,
HIP 14810 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
TrES-2 b,O'Donovan 2006,http://adsabs.harvard.edu/abs/2006ApJ...651L..61O,,
HD 10647 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
HD 73526 c,Tinney 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..594T,,
OGLE-05-390L b,Beaulieu 2006,http://adsabs.harvard.edu/abs/2006Natur.439..437B,,
HD 99109 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
XO-1 b,McCullough 2006,http://adsabs.harvard.edu/abs/2006ApJ...648.1228M,,
HD 11964 b,Butler 2006,http://adsabs.harvard.edu/abs/2006ApJ...646..505B,,
HD 69830 c,Lovis 2006,http://adsabs.harvard.edu/abs/2006Natur.441..305L,,
HD 86081 b,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,,
HD 155358 b,Cochran 2007,http://adsabs.harvard.edu/abs/2007ApJ...665.1407C,,
HD 17156 b,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,
HAT-P-4 b,Kovacs 2007,http://adsabs.harvard.edu/abs/2007ApJ...670L..41K,,
HAT-P-3 b,Torres 2007,http://adsabs.harvard.edu/abs/2007ApJ...666L.121T,,
HD 17092 b,Niedzielski 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1354N,,
HD 154857 c,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,,
HD 11964 c,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,
HD 190647 b,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,
WASP-1 b,Collier-Cameron 2007,http://adsabs.harvard.edu/abs/2007MNRAS.375..951C,,
NGC 2423 3 b,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,,
HD 219828 b,Melo 2007,http://adsabs.harvard.edu/abs/2007A%26A...467..721M,,
HD 171028 b,Santos 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..647S,,
epsilon Tau b,Sato 2007,http://adsabs.harvard.edu/abs/2007ApJ...661..527S,,
HAT-P-1 b,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...656..552B,,
HD 170469 b,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,
HD 24040 b,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,
WASP-2 b,Collier-Cameron 2007,http://adsabs.harvard.edu/abs/2007MNRAS.375..951C,,
HD 221287 b,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,
HD 192699 b,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,,
HD 154345 b,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,
GJ 581 d,Udry 2007,http://adsabs.harvard.edu/abs/2007A%26A...469L..43U,,
HD 125612 b,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,
TrES-3 b,O'Donovan 2007,http://adsabs.harvard.edu/abs/2007ApJ...663L..37O,,
HD 210702 b,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,,
XO-2 b,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,,
HD 11506 b,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,
HAT-P-2 b,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..826B,,
HAT-P-5 b,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...671L.173B,,
HD 100777 b,Naef 2007,http://adsabs.harvard.edu/abs/2007A%26A...470..721N,,
HD 23127 b,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,,
HD 132406 b,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,,
NGC 4349 127 b,Lovis 2007,http://adsabs.harvard.edu/abs/2007A&A...472..657L,,
TrES-4 b,Mandushev 2007,http://adsabs.harvard.edu/abs/2007ApJ...667L.195M,,
HD 155358 c,Cochran 2007,http://adsabs.harvard.edu/abs/2007ApJ...665.1407C,,
HIP 14810 c,Wright 2007,http://adsabs.harvard.edu/abs/2007ApJ...657..533W,,
GJ 317 b,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..833J,,
HD 175541 b,Johnson 2007,http://adsabs.harvard.edu/abs/2007ApJ...665..785J,,
mu Ara e,Pepe 2007 ,http://adsabs.harvard.edu/abs/2007A%26A...462..769P ,,
HD 5319 b,Robinson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,,
4 UMa b,Dollinger 2007,http://adsabs.harvard.edu/abs/2007A%26A...472..649D,,
HD 231701 b,Fischer 2007,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F,,
HD 75898 b,Robinson 2007,http://adsabs.harvard.edu/abs/2007ApJ...670.1391R,,
GJ 581 c,Udry 2007,http://adsabs.harvard.edu/abs/2007A%26A...469L..43U,,
HD 43691 b,Da Silva 2007,http://adsabs.harvard.edu/abs/2007A%26A...473..323D,,
GJ 674 b,Bonfils 2007,http://adsabs.harvard.edu/abs/2007A%26A...474..293B,,
HD 159868 b,O'Toole 2007,http://adsabs.harvard.edu/abs/2007ApJ...660.1636O,,
WASP-5 b,Anderson 2008,http://adsabs.harvard.edu/abs/2008MNRAS.387L...4A,,
WASP-3 b,Pollacco 2008,http://adsabs.harvard.edu/abs/2008MNRAS.385.1576P,,
HD 154672 b,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,,
XO-5 b,Burke 2008,http://adsabs.harvard.edu/abs/2008ApJ...686.1331B,,
HD 205739 b,Lopez-Morales 2008,http://adsabs.harvard.edu/abs/2008AJ....136.1901L,,
OGLE-TR-182 b,Pont 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..749P,,
HAT-P-7 b,Pal 2008,http://adsabs.harvard.edu/abs/2008ApJ...680.1450P,,
55 Cnc f,Fischer 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..790F,,
XO-4 b,McCullough 2008,http://adsabs.harvard.edu/abs/2008arXiv0805.2921M,,
OGLE-2006-BLG-109L c,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,,
OGLE-TR-211 b,Udalski 2008,http://adsabs.harvard.edu/abs/2008A%26A...482..299U,,
kappa CrB b,Johnson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675..784J,,
